P_dc,P_ac_real,Eff_real,Eff_est,P_ac_est,Error
150.95999999999998,59.3,39.28192898781134,32.837743248542644,49.57185720799997,-9.728142792000028
151.01999999999998,18.1,11.985167527479806,32.86314098761751,49.62991551949996,31.52991551949996
152.37,14.6,9.581938701844194,33.42930048492156,50.93622514887499,36.33622514887499
152.82,36.5,23.884308336605155,33.615796806373496,51.37166067949997,14.871660679499968
152.84999999999997,48.09999999999999,31.468760222440302,33.628190838648976,51.40068969687495,3.3006896968749615
152.88,22.1,14.455782312925171,33.64058000523285,51.42971871199998,29.32971871199998
153.03,37.2,24.30895902764164,33.70245295293405,51.57486375387498,14.374863753874976
153.20999999999998,7.400000000000001,4.829971933946871,33.77654051946673,51.74903772987497,44.34903772987497
153.24,31.1,20.294962150874447,33.78887152049073,51.778066718,20.678066717999997
153.32999999999998,36.5,23.8048653231592,33.825835563082876,51.86515366887497,15.365153668874967
153.54,20.9,13.612088055229906,33.91191642275627,52.068356475499975,31.168356475499976
153.54,24.200000000000003,15.761365116582,33.91191642275627,52.068356475499975,27.868356475499972
153.57,38.0,24.744416227127694,33.92419446433221,52.09738543887497,14.097385438874973
153.63,30.899999999999995,20.11325912907635,33.948736157570124,52.15544335887498,21.255443358874988
153.63,29.600000000000005,19.26707023367832,33.948736157570124,52.15544335887498,22.555443358874978
153.75,54.0,35.12195121951219,33.99776206300812,52.27155917187498,-1.7284408281250165
153.78,25.300000000000004,16.452074391988557,34.01000658050461,52.30058811949999,27.000588119499987
153.93,29.6,19.22951991164815,34.07115755465146,52.445732823874984,22.845732823874982
154.05,46.29999999999998,30.05517689061992,34.1199925653197,52.561848546875005,6.261848546875022
154.23,27.6,17.89535109900798,34.19310255065486,52.736022063874984,25.136022063874982
154.32,21.7,14.061689994815968,34.22959356661482,52.823108791999985,31.123108791999986
154.32,39.900000000000006,25.85536547433904,34.22959356661482,52.823108791999985,12.92310879199998
154.38,20.300000000000004,13.149371680269468,34.25389726616141,52.881166599499984,32.58116659949998
154.41,43.2,27.97746259957257,34.26604203087558,52.91019549987499,9.710195499874985
154.5,32.6,21.10032362459547,34.30244801779934,52.997282187499984,20.397282187499982
154.62,29.999999999999996,19.40240589833139,34.35092338604319,53.11339773949999,23.11339773949999
154.70999999999998,15.700000000000001,10.148018874022366,34.387230547395106,53.20048437987496,37.500484379874955
154.89,20.8,13.42888501517206,34.45971825158175,53.374657599874965,32.57465759987497
154.92,45.100000000000016,29.11179963852312,34.47178315388586,53.40368646199997,8.303686461999952
155.07,9.1,5.868317534016896,34.53203762099373,53.54883073887497,44.44883073887497
155.07,36.3,23.408783130199264,34.53203762099373,53.54883073887497,17.24883073887497
155.16,29.100000000000005,18.754833720030938,34.56813436323793,53.63591727799997,24.535917277999967
155.19,23.8,15.336039693279208,34.58015730386944,53.66494611987498,29.864946119874983
155.19,70.7,45.55705908885882,34.58015730386944,53.66494611987498,-17.03505388012502
155.25,15.8,10.177133655394526,34.6041892411433,53.72300379687498,37.92300379687498
155.28,27.0,17.387944358578054,34.61619824317361,53.75203263199999,26.752032631999988
155.31,22.000000000000004,14.165217951194386,34.628202604387994,53.781061464874995,31.78106146487499
155.33999999999995,42.19999999999999,27.16621604222995,34.64020232747518,53.810090295499926,11.610090295499937
155.43,43.800000000000004,28.17988805249952,34.67617369483046,53.89717677387498,10.097176773874978
155.49,43.5,27.97607563187343,34.70013146496559,53.955234414875,10.455234414875001
155.67,44.4,28.521873193293505,34.771893931955404,54.129407283874976,9.729407283874977
155.73000000000002,17.3,11.108970654337636,34.79577787765684,54.187464888875006,36.887464888875
155.76,31.400000000000002,20.159219311761685,34.80771294812531,54.21649368799998,22.816493687999976
155.96999999999997,28.7,18.40097454638713,34.891129844761785,54.41969521887495,25.71969521887495
155.97,46.599999999999994,29.877540552670386,34.8911298447618,54.41969521887498,7.819695218874983
156.12,51.99999999999999,33.30771201639764,34.95057590443248,54.56483910199999,2.5648391020000005
156.14999999999998,20.0,12.808197246237594,34.96245140690039,54.593867871874956,34.593867871874956
156.15,49.0,31.3800832532821,34.962451406900406,54.59386787187499,5.593867871874991
156.20999999999998,38.300000000000004,24.518276678829785,34.98618872343318,54.651925404874966,16.35192540487496
156.20999999999998,21.2,13.571474297420142,34.98618872343318,54.651925404874966,33.45192540487497
156.3,66.1,42.29046705054382,35.02176051663467,54.739011687499996,-11.360988312499998
156.36,42.6,27.244819646968534,35.04545228830902,54.79706919799999,12.197069197999987
156.36,46.800000000000004,29.93092862624712,35.04545228830902,54.79706919799999,7.997069197999984
156.36,43.70000000000001,27.94832437963674,35.04545228830902,54.79706919799999,11.097069197999978
156.6,38.7,24.712643678160923,35.140037771392066,55.02929914999998,16.329299149999976
156.60000000000002,30.900000000000006,19.731800766283524,35.14003777139208,55.02929915000001,24.12929915
156.63,69.4,44.30824235459364,35.15184056941517,55.05832788387498,-14.341672116125025
156.66,55.8,35.61853695901953,35.16363884558916,55.08735661549998,-0.7126433845000193
156.66,23.500000000000004,15.000638325035109,35.16363884558916,55.08735661549998,31.587356615499974
156.72,61.00000000000001,38.922919857069935,35.187221842776914,55.14541407199999,-5.85458592800002
156.75,1.9,1.2121212121212122,35.19900656897926,55.174442796874985,53.274442796874986
156.89999999999998,32.1,20.458891013384324,35.25786257966856,55.31958638749997,23.219586387499966
157.07999999999998,30.5,19.416857652151773,35.32834136872929,55.49375862199996,24.99375862199996
157.14,46.9,29.845997199949093,35.35179840619828,55.551816015499966,8.651816015499968
157.23000000000002,36.9,23.468803663423007,35.3869503840711,55.63890208887499,18.738902088874994
